business_name,yelp_rating,yelp_price,yelp_category,yelp_review_count,inspection_score,business_latitude,inspection_type,business_city,risk_category,business_location,business_phone_number,inspection_id,business_id,business_address,inspection_date,violation_description,violation_id,business_longitude,business_state,business_postal_code
ACE WASABI'S ROCK N ROLL SUSHI,4.0,$$,Sushi Bars,586,84,37.800215,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.800215, -122.437834)",+14155564903,3727_20160713,3727,3339 STEINER St,2016-07-13 00:00:00,Moderate risk vermin infestation,3727_20160713_103131,-122.437834,CA,94123
ADELITA'S CAKES,3.0,$,Bakeries,12,82,37.736304,Routine - Unscheduled,San Francisco,Low Risk,"(37.736304, -122.424432)",,386_20160429,386,3780 MISSION St,2016-04-29 00:00:00,Inadequate ventilation or lighting,386_20160429_103147,-122.424432,CA,94110
AFC Sushi @ Good Life Grocers,3.0,$$,Grocery,60,96,,Routine - Unscheduled,San Francisco,Low Risk,,,77858_20160908,77858,448 Cortland Ave,2016-09-08 00:00:00,Unclean or degraded floors walls or ceilings,77858_20160908_103154,,CA,94110
AFC Sushi @ Safeway #995,3.5,$$,Seafood,1249,98,,Routine - Unscheduled,San Francisco,Low Risk,,,79217_20160920,79217,1335 Webster St,2016-09-20 00:00:00,Permit license or inspection report not posted,79217_20160920_103156,,CA,94115
AK SUBS,4.0,$,Sandwiches,357,83,37.773884,Routine - Unscheduled,San Francisco,Low Risk,"(37.773884, -122.408631)",+14155249600,4531_20151105,4531,397 08th St,2015-11-05 00:00:00,Improper food storage,4531_20151105_103139,-122.408631,CA,94103
AKRON MEAT MARKET,4.0,$$,Grocery,5,90,37.758813,Routine - Unscheduled,San Francisco,Low Risk,"(37.758813, -122.415221)",,6583_20161028,6583,3325 20th St,2016-10-28 00:00:00,Unclean or degraded floors walls or ceilings,6583_20161028_103154,-122.415221,CA,94110
AL-HAMRA,3.5,$,Indian,409,70,37.764913,Routine - Unscheduled,San Francisco,Low Risk,"(37.764913, -122.421349)",,2764_20160830,2764,3083 16th St,2016-08-30 00:00:00,Unclean or degraded floors walls or ceilings,2764_20160830_103154,-122.421349,CA,94103
AL-MASRI EGYPTIAN RESTAURANT,3.0,$$$,Middle Eastern,213,77,37.775454,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.775454, -122.502148)",,1968_20160708,1968,4031 BALBOA St,2016-07-08 00:00:00,Inadequate and inaccessible handwashing facilities,1968_20160708_103119,-122.502148,CA,94121
ALAMO SQUARE MARKET,4.0,$,Grocery,169,85,37.774824,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.774824, -122.436094)",,11379_20160928,11379,535 SCOTT ST,2016-09-28 00:00:00,Inadequate and inaccessible handwashing facilities,11379_20160928_103119,-122.436094,CA,94117
ALBORZ,3.5,$$,Middle Eastern,303,67,37.787375,Routine - Unscheduled,San Francisco,High Risk,"(37.787375, -122.421844)",+14155444321,3309_20161101,3309,1245 VAN NESS Ave,2016-11-01 00:00:00,Sewage or wastewater contamination,3309_20161101_103113,-122.421844,CA,94109
ALEGRIAS,4.0,$$,Spanish,686,96,37.800048,Routine - Unscheduled,San Francisco,Moderate Risk,"(37.800048, -122.434714)",,2507_20150112,2507,2018 LOMBARD St,2015-01-12 00:00:00,Inadequate and inaccessible handwashing facilities,2507_20150112_103119,-122.434714,CA,94123
ALEXIS APARTMENTS SR. MEALS PROGRAM,4.5,$,Bakeries,195,100,,Routine - Unscheduled,San Francisco,,,,6029_20160518,6029,390 CLEMENTINA St,2016-05-18 00:00:00,,,,CA,941033148
